Abadd#9no5,,4,2,,4,,,10,,2,1,,3,,5,,,2,1,,3
Abadd#9no5/C,3,,1,4,2,,,10,,,1,4,3,,7,,,4,,3,1
Abadd9,4,,,3,2,1,3,,,,,,,,,,,,,,
Abadd9/C,8,1,,1,1,2,,3,,1,4,1,2,,,,3,1,3,1,4
Abadd9/Eb,5,,2,2,1,,2,,,,1,3,1,4,,,,,,,
Abadd9no3/5,3,2,,4,1,,,,,,,,,,,,,,,,
Abadd9no5,5,,,2,1,,2,,,,,,,,,,,,,,
Abadd9no5/C,6,3,,1,,,1,,,,,,,,,,,,,,
Abaug,4,,,3,2,2,1,4,1,,3,2,2,,6,,,1,4,4,3
Abaug7,6,,,1,4,2,3,11,,1,4,1,3,,,,,,,,
Abaug7/C,3,,1,2,,3,2,,,,,,,,,,,,,,
Abaug7#9,5,,,2,1,3,3,4,1,,1,2,2,4,10,,2,1,2,3,3
Abaug9,3,2,1,2,1,3,,10,,2,1,2,2,3,,,,,,,
Abaug9/C,3,,1,2,,3,2,,,,,,,,,,,,,,
Abaugaddb9,5,,,2,1,1,1,9,,3,2,1,2,,,,,,,,
Abaugadd#9,5,,,2,1,1,3,,4,3,2,4,,,,,,,,,
Abaugmaj7,6,,,1,4,3,3,11,,1,,2,3,2,3,2,,,3,3,1
Abaugmaj7/E,,,,2,1,1,3,5,,3,2,1,4,,10,3,2,1,3,,
Abdim,,4,,,4,3,4,,,,,,,,,,,,,,
Abdim/Cb,,,2,0,1,,,,,,,,,,,,,,,,
Abdim/Ebb,,,,0,1,0,,,,,,,,,,,,,,,
Abdim7,,4,,3,4,3,,,,,,,,,,,,,,,
Abdim7/Cb,,,2,3,1,3,,,,,,,,,,,,,,,
Abdim7/Ebb,,,,0,1,0,1,,,,,,,,,,,,,,
Abdim7add11,10,,2,2,1,3,1,,4,4,3,4,3,,,,,,,,
Abdimadd11,2,3,4,,3,1,,,,,,,,,,,,,,,
Abdimadd11/Cb,,,2,0,1,2,,,,,,,,,,,,,,,
Abdimadd11/Ebb,,,,0,1,0,,,,,,,,,,,,,,,
Abdimmaj7,6,,,1,2,3,2,11,,1,2,2,2,,,4,,,4,3,3
Abm,4,1,3,3,1,1,1,6,,,1,3,4,2,,,,,,,
Abm/Cb,4,4,3,3,1,1,1,7,,,3,2,3,1,,,,,,,
Abm/Eb,4,,3,3,1,1,1,6,,1,1,3,4,2,,,,,,,
Abm11,,4,,4,4,2,2,11,,1,1,1,2,1,,4,2,4,3,2,2
Abm11/Cb,,,2,4,4,2,4,6,2,1,1,1,2,2,,,,,,,
Abm11/Eb,6,,1,1,1,2,2,,,,,,,,,,,,,,
Abm11/Gb,,,,4,4,2,4,,,,,,,,,,,,,,
Abm11b5,10,,2,2,2,3,1,,4,4,4,4,3,,,,,,,,
